"Medicare Part B Drug Spending and Utilization, Calendar Years 2013 - 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,Calendar Year 2017,,,,,,,,Yearly Change  ,
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate,Atropine Sulfate,"$68,322","2,195,519","50,860","12,144",$0.03,$1.34,$5.63,"$85,937","2,008,467","50,213","11,575",$0.04,$1.71,$7.42,"$96,903","2,085,717","49,959","11,308",$0.05,$1.94,$8.57,"$102,974","2,221,749","50,714","11,005",$0.05,$2.03,$9.36,"$115,626","2,197,820","50,230","10,665",$0.05,$2.30,$10.84,$0.05,13.51%,14.03%
J0475,"Injection, baclofen, 10 mg",Gablofen (J0475)*,Baclofen*,"$26,165,902","146,775","31,912","10,299",$178.27,$819.94,"$2,540.63","$25,635,272","149,226","32,293","10,412",$171.79,$793.83,"$2,462.09","$25,822,697","148,271","31,405","10,361",$174.16,$822.25,"$2,492.30","$27,300,625","150,627","31,308","10,086",$181.25,$872.00,"$2,706.78","$24,082,874","148,406","30,359","9,801",$162.28,$793.27,"$2,457.19",$167.14,-10.47%,-2.32%
J0476,"Injection, baclofen, 50 mcg for intrathecal trial",Gablofen (J0476)*,Baclofen*,"$567,054","7,963",594,536,$71.21,$954.64,"$1,057.94","$582,068","9,391",634,542,$61.98,$918.09,"$1,073.93","$171,268","2,375",517,445,$72.11,$331.27,$384.87,"$64,352","5,587",520,440,$11.52,$123.75,$146.25,"$49,493",962,498,399,$51.46,$99.38,$124.04,$74.23,346.76%,-7.80%
J0480,"Injection, basiliximab, 20 mg",Simulect,Basiliximab,"$719,829",301,272,174,"$2,391.46","$2,646.43","$4,136.95","$704,568",279,269,175,"$2,525.33","$2,619.21","$4,026.10","$928,743",340,335,211,"$2,731.60","$2,772.37","$4,401.63","$1,025,318",337,325,202,"$3,042.49","$3,154.83","$5,075.83","$1,102,034",333,324,202,"$3,309.41","$3,401.34","$5,455.61","$3,390.69",8.77%,8.46%
J0485,"Injection, belatacept, 1 mg",Nulojix,Belatacept,"$8,517,275","2,282,987","3,998",587,$3.73,"$2,130.38","$14,509.84","$14,945,150","3,996,906","7,252",966,$3.74,"$2,060.83","$15,471.17","$20,547,760","5,502,060","10,428","1,354",$3.73,"$1,970.44","$15,175.60","$30,546,448","8,130,445","15,566","1,978",$3.76,"$1,962.38","$15,443.10","$36,434,031","9,556,611","19,199","2,146",$3.81,"$1,897.70","$16,977.65",$3.88,1.47%,0.54%
J0490,"Injection, belimumab, 10 mg",Benlysta,Belimumab,"$43,361,223","1,197,613","13,687","1,931",$36.21,"$3,168.06","$22,455.32","$52,535,213","1,369,820","16,695","2,280",$38.35,"$3,146.76","$23,041.76","$63,776,441","1,615,149","19,627","2,639",$39.49,"$3,249.42","$24,166.90","$76,612,942","1,871,741","22,443","2,914",$40.93,"$3,413.67","$26,291.33","$85,483,996","2,065,145","24,606","3,136",$41.39,"$3,474.11","$27,258.93",$42.33,1.13%,3.40%
J0500,"Injection, dicyclomine hcl, up to 20 mg",Bentyl,Dicyclomine HCL,"$43,588","1,469","1,281",807,$29.67,$34.03,$54.01,"$37,580","1,169",995,641,$32.15,$37.77,$58.63,"$44,472","1,197",905,607,$37.15,$49.14,$73.27,"$51,395","1,070",788,470,$48.03,$65.22,$109.35,"$36,305",639,575,401,$56.81,$63.14,$90.53,$72.02,18.28%,17.63%
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate*,Benztropine Mesylate*,"$4,715",231,167,44,$20.41,$28.24,$107.17,"$3,059",163,118,37,$18.76,$25.92,$82.66,"$1,293",84,59,22,$15.40,$21.92,$58.79,"$3,925",162,120,29,$24.23,$32.71,$135.35,"$4,294",214,162,53,$20.06,$26.50,$81.01,$23.90,-17.19%,-0.43%
J0558,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",Bicillin C-R,Pen G Benz/Pen G Procaine,"$116,848","28,173","3,322","2,496",$4.15,$35.17,$46.81,"$126,080","28,693","2,738","2,089",$4.39,$46.05,$60.35,"$165,973","30,783","2,733","1,971",$5.39,$60.73,$84.21,"$181,498","27,668","2,284","1,536",$6.56,$79.47,$118.16,"$168,107","20,128","1,580","1,000",$8.35,$106.40,$168.11,$8.92,27.32%,19.12%
J0561,"Injection, penicillin g benzathine, 100,000 units",Bicillin L-A,Penicillin G Benzathine,"$544,412","112,045","12,172","7,867",$4.86,$44.73,$69.20,"$622,617","113,224","11,069","7,119",$5.50,$56.25,$87.46,"$769,567","115,265","10,725","7,075",$6.68,$71.75,$108.77,"$1,804,970","210,469","16,173","11,951",$8.58,$111.60,$151.03,"$2,095,171","203,135","14,561","10,558",$10.31,$143.89,$198.44,$11.19,20.27%,20.70%
J0583,"Injection, bivalirudin, 1 mg",Angiomax*,Bivalirudin*,"$77,674,396","25,399,186","92,029","85,994",$3.06,$844.02,$903.25,"$86,562,768","26,616,625","93,775","87,413",$3.25,$923.09,$990.27,"$10,605,820","2,979,845","11,350","11,113",$3.56,$934.43,$954.36,"$1,684,696","582,176","2,294","2,141",$2.89,$734.39,$786.87,"$589,586","432,061","1,524","1,317",$1.36,$386.87,$447.67,$1.39,-52.84%,-18.27%
J0585,"Injection, onabotulinumtoxina, 1 unit",Botox*,Onabotulinumtoxina*,"$188,706,706","35,022,179","200,056","93,883",$5.39,$943.27,"$2,010.02","$218,295,632","40,406,555","228,991","105,827",$5.40,$953.29,"$2,062.76","$252,830,418","45,557,920","254,976","116,531",$5.55,$991.59,"$2,169.64","$295,018,183","51,806,617","287,657","130,239",$5.69,"$1,025.59","$2,265.21","$325,321,150","55,431,064","302,146","130,145",$5.87,"$1,076.70","$2,499.68",$5.98,3.06%,2.16%
J0586,"Injection, abobotulinumtoxina, 5 units",Dysport,Abobotulinumtoxina,"$4,497,115","659,115","4,552","2,168",$6.82,$987.94,"$2,074.32","$5,102,817","700,255","4,960","2,289",$7.29,"$1,028.79","$2,229.28","$5,669,150","745,032","5,122","2,203",$7.61,"$1,106.82","$2,573.38","$6,461,694","846,076","5,763","2,392",$7.64,"$1,121.24","$2,701.38","$7,469,593","956,876","6,505","2,790",$7.81,"$1,148.28","$2,677.27",$7.99,2.21%,3.42%
J0587,"Injection, rimabotulinumtoxinb, 100 units",Myobloc,Rimabotulinumtoxinb,"$5,726,930","536,868","6,303","3,235",$10.67,$908.60,"$1,770.30","$6,440,027","585,416","7,258","3,600",$11.00,$887.30,"$1,788.90","$6,850,436","610,441","7,634","3,626",$11.22,$897.36,"$1,889.25","$7,693,006","673,863","8,414","3,969",$11.42,$914.31,"$1,938.27","$7,916,983","696,033","8,792","4,001",$11.37,$900.48,"$1,978.75",$11.83,-0.37%,1.62%
J0588,"Injection, incobotulinumtoxin a, 1 unit",Xeomin,Incobotulinumtoxina,"$4,992,127","1,144,308","7,778","3,887",$4.36,$641.83,"$1,284.31","$6,485,719","1,480,559","9,126","4,377",$4.38,$710.69,"$1,481.77","$8,089,835","1,793,787","10,834","4,995",$4.51,$746.71,"$1,619.59","$10,834,186","2,274,886","12,888","6,000",$4.76,$840.64,"$1,805.70","$13,043,267","2,656,861","14,995","6,828",$4.91,$869.84,"$1,910.26",$5.00,3.08%,3.00%
J0592,"Injection, buprenorphine hydrochloride, 0.1 mg",Buprenorphine HCL,Buprenorphine HCL,"$2,532","2,747","1,287",833,$0.92,$1.97,$3.04,"$7,108","2,497","1,140",769,$2.85,$6.24,$9.24,"$6,998","2,414","1,572","1,044",$2.90,$4.45,$6.70,"$8,576","2,753","1,639","1,089",$3.12,$5.23,$7.88,"$6,153","1,890",815,552,$3.26,$7.55,$11.15,$3.44,4.50%,37.09%
J0594,"Injection, busulfan, 1 mg",Busulfan*,Busulfan*,"$298,019","13,526",79,74,$22.03,"$3,772.40","$4,027.29","$433,803","15,732",78,63,$27.57,"$5,561.58","$6,885.77","$609,183","18,694",105,84,$32.59,"$5,801.74","$7,252.18","$284,936","8,209",77,69,$34.71,"$3,700.47","$4,129.51","$507,939","14,336",87,59,$35.43,"$5,838.38","$8,609.14",$36.09,2.08%,12.61%
J0595,"Injection, butorphanol tartrate, 1 mg",Butorphanol Tartrate,Butorphanol Tartrate,"$8,621","6,205","3,010","1,535",$1.39,$2.86,$5.62,"$11,547","6,709","3,275","1,580",$1.72,$3.53,$7.31,"$11,982","6,208","3,112","1,462",$1.93,$3.85,$8.20,"$11,041","4,781","2,696","1,242",$2.31,$4.10,$8.89,"$10,238","4,232","2,398","1,027",$2.42,$4.27,$9.97,$2.49,4.76%,14.87%
J0597,"Injection, c-1 esterase inhibitor (human), berinert, 10 units",Berinert,C1 Esterase Inhibitor,"$492,526","16,065",113,45,$30.66,"$4,358.63","$10,945.02","$603,418","17,174",114,60,$35.14,"$5,293.14","$10,056.97","$791,357","20,385",240,76,$38.82,"$3,297.32","$10,412.59","$1,445,131","31,781",298,81,$45.47,"$4,849.43","$17,841.12","$2,959,720","62,989",382,87,$46.99,"$7,747.96","$34,019.77",$48.30,3.33%,11.27%
J0598,"Injection, c-1 esterase inhibitor (human), cinryze, 10 units",Cinryze,C1 Esterase Inhibitor,"$2,383,988","50,071",287,30,$47.61,"$8,306.58","$79,466.26","$2,691,625","54,024",438,36,$49.82,"$6,145.26","$74,767.37","$3,967,112","76,023",653,32,$52.18,"$6,075.21","$123,972.25","$3,189,991","63,210",632,26,$50.47,"$5,047.45","$122,691.95","$3,312,665","63,044",631,30,$52.55,"$5,249.86","$110,422.16",$56.18,4.12%,2.50%
J0600,"Injection, edetate calcium disodium, up to 1000 mg",Calcium DIsodium Versenate,Edetate Calcium DIsodium,"$1,790,274","13,208","6,862",914,$135.54,$260.90,"$1,958.72","$2,759,741","13,587","7,547",979,$203.12,$365.67,"$2,818.94","$5,585,406","13,285","7,436","1,098",$420.43,$751.13,"$5,086.89","$11,392,192","8,521","5,400",542,"$1,336.95","$2,109.67","$21,018.81","$9,566,940","5,909","4,471",372,"$1,619.05","$2,139.78","$25,717.58","$5,594.42",21.10%,85.91%
J0610,"Injection, calcium gluconate, per 10 ml",Calcium Gluconate,Calcium Gluconate,"$46,556","68,719","30,534","6,817",$0.68,$1.52,$6.83,"$40,544","31,131","19,987","3,629",$1.30,$2.03,$11.17,"$70,071","33,018","17,877","3,458",$2.12,$3.92,$20.26,"$117,374","40,532","19,558","3,435",$2.90,$6.00,$34.17,"$131,414","43,013","19,033","3,288",$3.06,$6.90,$39.97,$3.17,5.50%,45.73%
J0630,"Injection, calcitonin salmon, up to 400 units",Miacalcin,"Calcitonin,salmon,synthetic","$137,891","165,368",295,39,$0.83,$467.43,"$3,535.66","$498,485","135,790",233,35,$3.67,"$2,139.42","$14,242.44","$1,220,772","166,124",191,23,$7.35,"$6,391.47","$53,077.03","$1,584,324","130,551",136,25,$12.14,"$11,649.44","$63,372.95","$1,980,938","102,961",98,16,$19.24,"$20,213.65","$123,808.62","$2,285.10",58.54%,119.17%
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,"$17,540","108,933","4,329",881,$0.16,$4.05,$19.91,"$2,194","6,095",736,172,$0.36,$2.98,$12.75,"$2,170","5,852",745,107,$0.37,$2.91,$20.28,$374,994,615,90,$0.38,$0.61,$4.16,"$1,232","2,006",633,107,$0.61,$1.95,$11.52,$0.59,63.21%,39.76%
J0637,"Injection, caspofungin acetate, 5 mg",Cancidas,Caspofungin Acetate,"$568,279","44,231","1,682",331,$12.85,$337.86,"$1,716.85","$471,690","38,346","1,501",319,$12.30,$314.25,"$1,478.65","$471,590","38,757","1,258",304,$12.17,$374.87,"$1,551.28","$614,599","49,614","2,436",309,$12.39,$252.30,"$1,988.99","$376,419","31,584","1,322",234,$11.92,$284.73,"$1,608.63",$11.66,-3.79%,-1.86%
J0640,"Injection, leucovorin calcium, per 50 mg",Leucovorin Calcium,Leucovorin Calcium,"$5,076,848","1,218,915","125,418","15,915",$4.17,$40.48,$319.00,"$4,896,627","1,249,350","116,171","14,629",$3.92,$42.15,$334.72,"$4,454,769","1,221,171","105,979","13,656",$3.65,$42.03,$326.21,"$4,332,915","1,256,178","104,013","13,701",$3.45,$41.66,$316.25,"$3,727,256","1,239,095","100,268","13,644",$3.01,$37.17,$273.18,$3.06,-12.79%,-7.81%
J0641,"Injection, levoleucovorin calcium, 0.5 mg",Fusilev*,Levoleucovorin Calcium*,"$60,510,614","33,942,291","52,594","7,885",$1.78,"$1,150.52","$7,674.14","$55,906,578","32,749,499","49,216","6,555",$1.71,"$1,135.94","$8,528.84","$56,990,894","32,153,912","47,472","6,274",$1.77,"$1,200.52","$9,083.66","$38,862,628","31,051,961","44,722","5,945",$1.25,$868.98,"$6,537.03","$17,454,996","26,719,971","37,844","5,094",$0.65,$461.24,"$3,426.58",$0.66,-47.80%,-22.20%
J0670,"Injection, mepivacaine hydrochloride, per 10 ml",Polocaine*,Mepivacaine HCL*,"$15,329","8,632","5,144","3,373",$1.78,$2.98,$4.54,"$22,161","9,577","5,596","3,577",$2.31,$3.96,$6.20,"$18,367","8,490","5,431","3,594",$2.16,$3.38,$5.11,"$18,498","8,623","5,154","3,381",$2.15,$3.59,$5.47,"$23,347","9,151","4,928","3,142",$2.55,$4.74,$7.43,$2.67,18.93%,9.48%
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium*,Cefazolin Sodium*,"$197,545","236,128","63,863","40,249",$0.84,$3.09,$4.91,"$167,536","180,466","48,232","32,101",$0.93,$3.47,$5.22,"$187,452","214,256","48,850","31,794",$0.87,$3.84,$5.90,"$198,287","222,349","48,130","30,415",$0.89,$4.12,$6.52,"$193,638","215,541","45,735","29,452",$0.90,$4.23,$6.57,$0.89,0.74%,1.80%
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime*,Cefepime In Iso-Osm Dextrose*,"$391,364","142,686","23,919","2,950",$2.74,$16.36,$132.67,"$363,281","146,465","22,445","2,964",$2.48,$16.19,$122.56,"$478,429","193,531","25,052","3,255",$2.47,$19.10,$146.98,"$325,526","129,851","19,269","2,719",$2.51,$16.89,$119.72,"$470,763","179,275","23,714","3,060",$2.63,$19.85,$153.84,$2.58,4.75%,-1.08%
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin*,Cefoxitin Sodium*,"$57,071","10,693","4,352","2,439",$5.34,$13.11,$23.40,"$65,870","13,181","4,716","2,259",$5.00,$13.97,$29.16,"$57,364","11,821","5,095","2,571",$4.85,$11.26,$22.31,"$47,172","10,194","4,724","2,701",$4.63,$9.99,$17.46,"$45,837","9,708","4,028","2,421",$4.72,$11.38,$18.93,$4.98,2.04%,-3.02%
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone*,Ceftriaxone In Is-Osm Dextrose*,"$3,354,656","3,824,539","1,004,764","602,709",$0.88,$3.34,$5.57,"$2,745,563","3,867,028","998,357","599,840",$0.71,$2.75,$4.58,"$2,911,738","4,083,091","1,047,895","636,049",$0.71,$2.78,$4.58,"$2,574,144","4,172,589","1,070,112","643,617",$0.62,$2.41,$4.00,"$2,760,382","4,260,412","1,100,291","664,122",$0.65,$2.51,$4.16,$0.65,5.02%,-7.29%
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime Sodium*,Cefuroxime Sodium*,"$16,345","5,394","5,196","2,132",$3.03,$3.15,$7.67,"$15,865","5,408","5,234","1,990",$2.93,$3.03,$7.97,"$15,315","5,681","5,510","2,092",$2.70,$2.78,$7.32,"$18,271","6,263","6,023","2,362",$2.92,$3.03,$7.74,"$15,363","5,736","5,616","2,011",$2.68,$2.74,$7.64,$2.70,-8.19%,-3.04%
J0702,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg",Betamethasone Acetate-Sod Phos*,"Betamethasone Acetate,sod Phos*","$14,225,704","2,560,642","1,099,299","707,700",$5.56,$12.94,$20.10,"$14,619,572","2,613,769","1,111,270","722,562",$5.59,$13.16,$20.23,"$15,878,305","2,747,785","1,157,314","751,689",$5.78,$13.72,$21.12,"$17,063,036","2,926,426","1,205,562","778,522",$5.83,$14.15,$21.92,"$20,086,113","2,984,709","1,209,933","781,924",$6.73,$16.60,$25.69,$6.91,15.42%,4.91%
J0712,"Injection, ceftaroline fosamil, 10 mg",Teflaro,Ceftaroline Fosamil Acetate,"$484,922","608,958","3,641","2,329",$0.80,$133.18,$208.21,"$88,886","88,365",874,106,$1.01,$101.70,$838.54,"$257,321","124,795",743,80,$2.06,$346.33,"$3,216.51","$932,600","402,220","2,507","1,406",$2.32,$372.00,$663.30,"$786,244","318,367","1,885",914,$2.47,$417.11,$860.22,$2.54,6.51%,32.70%
J0713,"Injection, ceftazidime, per 500 mg",Ceftazidime*,Ceftazidime*,"$134,081","63,241","10,294","4,473",$2.12,$13.03,$29.98,"$115,890","54,464","8,773","3,829",$2.13,$13.21,$30.27,"$105,484","50,333","8,680","3,637",$2.10,$12.15,$29.00,"$154,628","65,473","9,613","3,513",$2.36,$16.09,$44.02,"$101,370","42,586","7,490","3,348",$2.38,$13.53,$30.28,$2.36,0.79%,2.94%
J0717,"Injection, certolizumab pegol, 1 mg",Cimzia,Certolizumab Pegol, , , , , , , ,"$118,374,166","19,853,977","52,580","7,463",$5.96,"$2,251.32","$15,861.47","$174,777,119","28,253,509","74,155","9,982",$6.19,"$2,356.92","$17,509.23","$235,096,751","35,354,748","92,435","11,946",$6.65,"$2,543.37","$19,679.96","$305,139,039","41,635,860","108,041","13,802",$7.33,"$2,824.29","$22,108.32",$7.50,10.21%,7.12%
J0720,"Injection, chloramphenicol sodium succinate, up to 1 gm",Chloramphenicol Sod Succinate,Chloramphenicol Sod Succinate,"$2,888",168,138,105,$17.19,$20.93,$27.51,"$6,082",310,234,174,$19.62,$25.99,$34.96,"$11,423",568,410,280,$20.11,$27.86,$40.80,"$18,159",648,359,281,$28.02,$50.58,$64.62,"$6,989",208,136,118,$33.60,$51.39,$59.23,$39.71,19.90%,18.24%
J0725,"Injection, chorionic gonadotropin, per 1,000 usp units",Chorionic Gonadotropin*,"Chorionic Gonadotropin, Human*","$188,142","14,901","13,502",920,$12.63,$13.93,$204.50,"$224,185","14,465","12,647",834,$15.50,$17.73,$268.81,"$182,584","9,614","7,785",623,$18.99,$23.45,$293.07,"$194,071","10,545","7,732",457,$18.40,$25.10,$424.66,"$249,604","11,743","6,865",427,$21.26,$36.36,$584.55,$21.91,15.49%,13.91%
J0735,"Injection, clonidine hydrochloride, 1 mg",Clonidine HCL*,Clonidine HCL/PF*,"$799,087","35,563","8,985","5,083",$22.47,$88.94,$157.21,"$749,954","36,679","8,757","5,052",$20.45,$85.64,$148.45,"$492,858","26,428","8,250","4,867",$18.65,$59.74,$101.27,"$296,457","22,253","8,147","4,277",$13.32,$36.39,$69.31,"$285,424","22,350","7,068","3,940",$12.77,$40.38,$72.44,$13.16,-4.14%,-13.17%
J0740,"Injection, cidofovir, 375 mg",Cidofovir,Cidofovir,"$1,717,932","2,568","2,228",776,$668.98,$771.06,"$2,213.83","$1,931,092","3,262","2,748",963,$592.00,$702.73,"$2,005.29","$1,612,204","2,849","2,485",778,$565.88,$648.77,"$2,072.24","$1,081,326","2,086","1,734",527,$518.37,$623.60,"$2,051.85","$899,684","2,055","1,588",333,$437.80,$566.55,"$2,701.75",$499.37,-15.54%,-10.06%
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg",Imipenem-Cilastatin Sodium*,Imipenem/Cilastatin Sodium*,"$144,463","19,639","2,740",250,$7.36,$52.72,$577.85,"$76,362","15,935","1,841",196,$4.79,$41.48,$389.60,"$89,257","19,020","1,866",222,$4.69,$47.83,$402.06,"$62,787","9,714","1,164",206,$6.46,$53.94,$304.79,"$72,589","13,217","1,364",125,$5.49,$53.22,$580.71,$5.26,-15.03%,-7.04%
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Cipro I.V.*,Ciprofloxacin In 5 % Dextrose*,"$11,135","5,628","2,512",734,$1.98,$4.43,$15.17,"$8,948","6,304","2,926",952,$1.42,$3.06,$9.40,"$7,922","5,168","2,376",937,$1.53,$3.33,$8.45,"$11,962","7,913","3,731",883,$1.51,$3.21,$13.55,"$9,503","6,046","2,849",671,$1.57,$3.34,$14.16,$1.38,3.98%,-5.59%
J0770,"Injection, colistimethate sodium, up to 150 mg",Colistimethate*,Colistin (Colistimethate Na)*,"$17,899","1,569",675,248,$11.41,$26.52,$72.17,"$3,849",325,189,41,$11.84,$20.37,$93.88,"$2,330",174,51,15,$13.39,$45.69,$155.33,"$3,199",193,104,11,$16.57,$30.76,$290.79,"$7,200",231,90,15,$31.17,$80.00,$479.97,$12.88,88.05%,28.56%
J0775,"Injection, collagenase, clostridium histolyticum, 0.01 mg",Xiaflex,Collagenase Clostridium Hist.,"$21,893,408","582,544","6,815","5,730",$37.58,"$3,212.53","$3,820.84","$28,586,674","758,828","8,712","6,470",$37.67,"$3,281.30","$4,418.34","$34,884,504","929,450","10,237","7,051",$37.53,"$3,407.69","$4,947.45","$39,130,533","1,007,615","10,573","7,277",$38.83,"$3,700.99","$5,377.29","$41,814,444","1,038,742","10,950","7,118",$40.25,"$3,818.67","$5,874.47",$41.08,3.66%,1.73%
J0780,"Injection, prochlorperazine, up to 10 mg",Prochlorperazine Edisylate,Prochlorperazine Edisylate,"$20,111","5,551","5,180","2,385",$3.62,$3.88,$8.43,"$38,378","6,020","5,547","2,489",$6.38,$6.92,$15.42,"$48,533","4,172","3,915","2,022",$11.63,$12.40,$24.00,"$42,359","3,703","3,622","1,780",$11.44,$11.70,$23.80,"$49,180","4,428","4,309","1,987",$11.11,$11.41,$24.75,$11.60,-2.91%,32.32%
J0795,"Injection, corticorelin ovine triflutate, 1 microgram",Acthrel,Corticorelin Ovine Triflutate,"$17,770","2,718",34,33,$6.54,$522.66,$538.50,"$29,657","3,945",43,42,$7.52,$689.69,$706.12,"$25,089","3,295",41,38,$7.61,$611.93,$660.24,"$33,624","4,350",51,46,$7.73,$659.29,$730.95,"$31,859","3,932",55,50,$8.10,$579.25,$637.18,$8.28,4.82%,5.51%
J0800,"Injection, corticotropin, up to 40 units",H.P. Acthar,Corticotropin,"$47,437",446,386,240,$106.36,$122.89,$197.66,"$45,391",210,182,99,$216.15,$249.40,$458.49,"$103,936",163,131,57,$637.64,$793.41,"$1,823.44","$74,477",87,83,26,$856.06,$897.32,"$2,864.51","$18,127",62,60,22,$292.37,$302.11,$823.94,"$3,637.06",-65.85%,28.76%
J0834,"Injection, cosyntropin (cortrosyn), 0.25 mg",Cortrosyn*,Cosyntropin*,"$307,782","4,710","4,658","4,097",$65.35,$66.08,$75.12,"$252,840","4,574","4,528","3,947",$55.28,$55.84,$64.06,"$200,769","4,470","4,417","3,843",$44.91,$45.45,$52.24,"$178,878","4,240","4,203","3,666",$42.19,$42.56,$48.79,"$165,213","4,023","3,986","3,722",$41.07,$41.45,$44.39,$41.99,-2.65%,-10.96%
J0840,"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram",Crofab,"Antivenin,crotalidae Fab(Ovin)","$1,624,217",741,115,113,"$2,191.93","$14,123.62","$14,373.60","$1,679,679",697,118,113,"$2,409.87","$14,234.57","$14,864.41","$1,781,064",718,109,104,"$2,480.59","$16,340.04","$17,125.62","$1,113,773",426,79,71,"$2,614.49","$14,098.40","$15,686.95","$1,269,859",459,83,79,"$2,766.58","$15,299.50","$16,074.16","$2,820.40",5.82%,5.99%
J0850,"Injection, cytomegalovirus immune globulin intravenous (human), per vial",Cytogam,Cytomegalovirus Immune Globuln,"$2,759,438","2,754",777,223,"$1,001.97","$3,551.40","$12,374.16","$4,229,817","4,642",658,210,$911.21,"$6,428.29","$20,141.99","$2,874,071","2,810",714,224,"$1,022.80","$4,025.31","$12,830.67","$3,152,283","2,921",729,218,"$1,079.18","$4,324.12","$14,460.01","$3,611,961","3,394",812,210,"$1,064.22","$4,448.23","$17,199.81","$1,128.19",-1.39%,1.52%
J0875,"Injection, dalbavancin, 5 mg",Dalvance,Dalbavancin HCL, , , , , , , , , , , , , , , , , , , , , ,"$13,249,771","903,924","4,092","2,615",$14.66,"$3,237.97","$5,066.83","$18,537,824","1,287,400","5,364","3,636",$14.40,"$3,455.97","$5,098.41",$14.65,-1.76%,-1.76%
