State/Muncipality,Primary Substance,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Charlton,Alcohol,52.7%,47.1%,46.5%,44.5%,57.8%,39.3%,38.7%,33.7%,27.6%,39.4%
Charlton,Marijuana,9.6%,5.9%,10.9%,15.6%,11.7%,7.6%,9.7%,7.8%,7.6%,7.7%
Charlton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Charlton,Opioids,30.8%,42.8%,39.5%,26.6%,25.8%,44.8%,43.3%,56.6%,61.2%,47.2%
Charlton,Other,not available,not available,not available,8.6%,not available,6.2%,7.7%,not available,not available,not available
Chatham,Alcohol,55.3%,48.4%,53.8%,54.2%,56.6%,55.4%,39.6%,46.0%,58.5%,57.6%
Chatham,Marijuana,7.9%,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chatham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chatham,Opioids,34.2%,40.7%,36.6%,40.3%,37.4%,38.1%,54.1%,39.1%,35.8%,32.9%
Chatham,Other,not available,not available,not available,not available,not available,not available,not available,8.0%,not available,not available
Chelmsford,Alcohol,53.8%,53.8%,61.3%,52.2%,41.7%,41.3%,45.9%,42.6%,42.2%,38.5%
Chelmsford,Marijuana,5.6%,7.2%,7.5%,5.3%,5.7%,3.9%,9.6%,7.7%,4.4%,6.1%
Chelmsford,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chelmsford,Opioids,35.9%,33.1%,27.6%,35.9%,47.4%,49.5%,41.0%,48.1%,49.0%,50.8%
Chelmsford,Other,4.4%,3.4%,3.0%,4.8%,4.0%,3.9%,not available,not available,not available,2.5%
Chelsea,Alcohol,32.7%,39.8%,33.8%,29.1%,32.1%,33.7%,35.1%,27.6%,29.4%,29.0%
Chelsea,Marijuana,9.0%,8.8%,6.5%,9.2%,9.5%,7.2%,6.3%,7.1%,9.6%,9.2%
Chelsea,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chelsea,Opioids,48.9%,43.2%,48.3%,52.8%,50.7%,52.2%,49.7%,56.1%,54.7%,54.3%
Chelsea,Other,7.6%,8.2%,11.0%,8.6%,7.7%,7.0%,8.7%,8.9%,6.2%,7.5%
Cheshire,Alcohol,38.5%,48.8%,51.7%,43.6%,70.3%,58.8%,53.6%,66.7%,39.1%,52.8%
Cheshire,Marijuana,not available,not available,not available,not available,not available,13.7%,28.6%,not available,not available,not available
Cheshire,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Cheshire,Opioids,33.3%,16.3%,31.6%,35.9%,not available,25.5%,not available,not available,56.5%,37.5%
Cheshire,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chesterfield,Alcohol,75.0%,52.9%,61.1%,52.4%,not available,70.0%,not available,not available,not available,not available
Chesterfield,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chesterfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chesterfield,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chesterfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chester,Alcohol,56.0%,68.2%,75.0%,72.2%,60.0%,72.7%,81.0%,50.0%,72.7%,62.5%
Chester,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chester,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chester,Opioids,not available,not available,not available,not available,not available,not available,not available,42.9%,not available,not available
Chester,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chicopee,Alcohol,45.2%,41.1%,41.6%,37.5%,37.3%,38.1%,39.8%,37.8%,32.1%,26.6%
Chicopee,Marijuana,5.1%,4.4%,3.5%,5.1%,5.9%,4.9%,5.4%,3.7%,5.2%,4.7%
Chicopee,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chicopee,Opioids,41.6%,44.8%,44.0%,47.0%,44.7%,48.0%,45.7%,46.1%,53.7%,61.1%
Chicopee,Other,8.1%,9.3%,10.9%,10.2%,12.0%,9.1%,9.1%,12.3%,8.9%,7.6%
Chilmark,Alcohol,not available,62.5%,not available,not available,85.7%,not available,61.5%,85.7%,not available,56.2%
Chilmark,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chilmark,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chilmark,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Chilmark,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Clarksburg,Alcohol,60.0%,48.1%,52.4%,47.1%,29.2%,53.8%,64.7%,37.5%,37.5%,39.1%
Clarksburg,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Clarksburg,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Clarksburg,Opioids,17.1%,25.9%,not available,not available,62.5%,not available,not available,not available,62.5%,56.5%
Clarksburg,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Clinton,Alcohol,56.0%,56.2%,48.3%,58.0%,51.7%,42.0%,32.6%,31.5%,28.4%,18.5%
Clinton,Marijuana,5.1%,5.8%,5.2%,not available,6.3%,6.9%,5.8%,7.2%,5.8%,not available
Clinton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Clinton,Opioids,32.6%,29.9%,37.3%,30.1%,39.9%,48.9%,58.1%,56.3%,59.1%,75.3%
Clinton,Other,4.0%,5.1%,9.2%,4.2%,not available,not available,not available,not available,4.3%,3.8%
Cohasset,Alcohol,60.6%,53.6%,57.1%,58.7%,60.6%,54.9%,63.6%,48.1%,53.5%,35.0%
Cohasset,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Cohasset,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Cohasset,Opioids,24.2%,21.4%,25.7%,26.1%,18.2%,29.4%,27.3%,46.1%,30.2%,53.3%
Cohasset,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Colrain,Alcohol,80.8%,77.8%,84.0%,90.9%,91.2%,82.4%,81.2%,66.7%,42.9%,38.9%
Colrain,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Colrain,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Colrain,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,33.3%,44.4%
Colrain,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Concord,Alcohol,72.2%,69.2%,82.1%,64.1%,46.5%,75.0%,76.5%,85.2%,73.8%,62.1%
Concord,Marijuana,13.9%,15.4%,not available,not available,not available,not available,not available,not available,not available,not available
Concord,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Concord,Opioids,not available,not available,not available,20.5%,37.2%,not available,not available,not available,14.3%,27.6%
Concord,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Conway,Alcohol,73.7%,not available,61.5%,61.5%,100.0%,72.7%,not available,100.0%,not available,not available
Conway,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Conway,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Conway,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Conway,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Cummington,Alcohol,50.0%,not available,not available,54.5%,not available,100.0%,not available,77.8%,77.8%,not available
Cummington,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Cummington,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Cummington,Opioids,not available,77.8%,not available,not available,not available,not available,not available,not available,not available,66.7%
Cummington,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Dalton,Alcohol,34.1%,36.7%,37.6%,49.6%,54.2%,46.7%,53.8%,49.4%,58.1%,47.4%
Dalton,Marijuana,10.6%,11.1%,not available,8.9%,9.3%,10.3%,16.1%,7.2%,4.7%,not available
Dalton,None,8.2%,12.2%,15.4%,9.8%,not available,not available,not available,not available,not available,not available
Dalton,Opioids,31.8%,26.6%,35.0%,26.9%,30.9%,34.6%,24.7%,35.0%,35.7%,46.8%
Dalton,Other,11.8%,13.3%,6.8%,not available,not available,7.5%,not available,not available,not available,3.8%
Danvers,Alcohol,39.6%,33.3%,34.1%,46.3%,47.0%,39.1%,34.6%,37.2%,37.4%,46.3%
Danvers,Marijuana,4.1%,4.1%,2.7%,4.0%,3.2%,5.3%,6.2%,6.2%,6.1%,6.7%
Danvers,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Danvers,Opioids,47.0%,53.0%,54.7%,40.3%,42.9%,51.2%,54.4%,48.5%,51.3%,44.3%
Danvers,Other,9.3%,7.7%,7.5%,9.1%,6.9%,4.4%,3.5%,8.1%,4.8%,1.7%
Dartmouth,Alcohol,43.2%,26.9%,32.3%,38.4%,37.2%,37.6%,37.6%,36.1%,34.3%,27.9%
Dartmouth,Marijuana,5.4%,9.0%,8.8%,9.0%,8.4%,2.7%,2.3%,3.0%,2.2%,3.4%
Dartmouth,None,not available,7.8%,10.0%,7.5%,not available,not available,not available,not available,not available,not available
Dartmouth,Opioids,40.3%,38.7%,32.5%,32.3%,38.5%,52.4%,51.0%,53.8%,56.3%,64.0%
Dartmouth,Other,10.4%,17.7%,16.5%,12.8%,16.0%,6.5%,9.1%,5.6%,6.9%,3.4%
Dedham,Alcohol,42.2%,41.1%,41.3%,39.7%,40.9%,35.7%,34.6%,34.2%,25.4%,26.6%
Dedham,Marijuana,6.4%,10.1%,14.1%,13.8%,4.4%,9.1%,8.6%,4.5%,5.0%,3.1%
Dedham,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Dedham,Opioids,35.8%,33.8%,28.0%,35.1%,43.3%,50.5%,50.4%,53.8%,62.2%,63.8%
Dedham,Other,14.8%,14.1%,16.5%,9.4%,10.4%,3.4%,6.1%,6.6%,6.5%,6.4%
Deerfield,Alcohol,76.7%,78.9%,66.7%,73.7%,78.0%,77.4%,65.4%,76.5%,60.0%,53.8%
Deerfield,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Deerfield,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Deerfield,Opioids,14.0%,10.5%,20.0%,14.0%,not available,not available,not available,not available,not available,25.6%
Deerfield,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Dennis,Alcohol,48.3%,56.9%,63.3%,47.9%,49.8%,48.3%,48.1%,35.2%,45.6%,53.0%
Dennis,Marijuana,2.6%,5.3%,2.8%,6.6%,3.5%,3.6%,4.6%,4.1%,5.6%,2.6%
Dennis,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Dennis,Opioids,39.8%,28.0%,29.0%,37.9%,38.0%,41.1%,40.2%,54.7%,46.6%,38.2%
Dennis,Other,8.9%,8.0%,4.4%,5.7%,7.0%,6.0%,7.1%,5.9%,not available,4.1%
Dighton,Alcohol,57.9%,50.0%,50.0%,48.0%,56.4%,43.7%,50.0%,40.6%,12.7%,23.9%
Dighton,Marijuana,not available,not available,not available,not available,not available,8.5%,not available,not available,9.9%,not available
Dighton,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Dighton,Opioids,not available,31.0%,29.4%,48.0%,25.6%,42.2%,37.5%,47.8%,69.0%,63.4%
Dighton,Other,23.7%,not available,not available,not available,not available,not available,not available,not available,not available,not available
Douglas,Alcohol,52.9%,58.5%,60.3%,61.4%,51.8%,53.1%,41.8%,43.9%,45.7%,36.6%
Douglas,Marijuana,8.6%,14.6%,not available,13.6%,not available,not available,not available,not available,not available,not available
Douglas,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Douglas,Opioids,25.7%,19.5%,29.5%,15.9%,17.9%,45.3%,47.3%,43.9%,40.7%,53.5%
Douglas,Other,not available,not available,not available,not available,12.5%,not available,not available,not available,not available,not available
Dover,Alcohol,80.0%,73.3%,84.0%,71.4%,88.2%,92.3%,81.0%,82.4%,76.5%,75.0%
Dover,Marijuana,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Dover,None,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Dover,Opioids,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
Dover,Other,not available,not available,not available,not available,not available,not available,not available,not available,not available,not available
